full_text,cleasing,case_folding,tokenize,Filtering/stopword removal,stemming_data,Sentiment
Koalisi partai politik pendukung presiden dan wakil presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka membuka opsi untuk merevisi Undang-Undang (UU) Kementerian Negara. Ya revisi itu dimungkinkan ujar Sekretaris Jenderal Partai Gerindra Ahmad Muzani usai acara halal https://t.co/uPrkkTUpNK,Koalisi partai politik pendukung presiden dan wakil presiden terpilih Prabowo SubiantoGibran Rakabuming Raka membuka opsi untuk merevisi UndangUndang UU Kementerian Negara Ya revisi itu dimungkinkan ujar Sekretaris Jenderal Partai Gerindra Ahmad Muzani usai acara halal ,koalisi partai politik pendukung presiden dan wakil presiden terpilih prabowo subiantogibran rakabuming raka membuka opsi untuk merevisi undangundang uu kementerian negara ya revisi itu dimungkinkan ujar sekretaris jenderal partai gerindra ahmad muzani usai acara halal ,"['koalisi', 'partai', 'politik', 'pendukung', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', 'membuka', 'opsi', 'untuk', 'merevisi', 'undangundang', 'uu', 'kementerian', 'negara', 'ya', 'revisi', 'itu', 'dimungkinkan', 'ujar', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'usai', 'acara', 'halal']","['koalisi', 'partai', 'politik', 'pendukung', 'presiden', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka', 'membuka', 'opsi', 'merevisi', 'undangundang', 'uu', 'kementerian', 'negara', 'ya', 'revisi', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'acara', 'halal']",koalisi partai politik pendukung presiden wakil presiden terpilih prabowo subiantogibran rakabuming raka membuka opsi merevisi undangundang uu kementerian negara ya revisi sekretaris jenderal partai gerindra ahmad muzani acara halal,Positive
Ketua Harian Gerindra Dasco buka suara soal beredarnya sejumlah nama yang disebut bakal masuk jajaran kabinet Prabowo-Gibran. Dasco menyebut Presiden Terpilih Prabowo Subianto belum membahas terkait kabinetnya. Ia menganggap nama-nama beredar tersebut merupakan aspirasi atau https://t.co/CwnKRK5P5y,Ketua Harian Gerindra Dasco buka suara soal beredarnya sejumlah nama yang disebut bakal masuk jajaran kabinet PrabowoGibran Dasco menyebut Presiden Terpilih Prabowo Subianto belum membahas terkait kabinetnya Ia menganggap namanama beredar tersebut merupakan aspirasi atau ,ketua harian gerindra dasco buka suara soal beredarnya sejumlah nama yang disebut bakal masuk jajaran kabinet prabowogibran dasco menyebut presiden terpilih prabowo subianto belum membahas terkait kabinetnya ia menganggap namanama beredar tersebut merupakan aspirasi atau ,"['ketua', 'harian', 'gerindra', 'dasco', 'buka', 'suara', 'soal', 'beredarnya', 'sejumlah', 'nama', 'yang', 'disebut', 'bakal', 'masuk', 'jajaran', 'kabinet', 'prabowogibran', 'dasco', 'menyebut', 'presiden', 'terpilih', 'prabowo', 'subianto', 'belum', 'membahas', 'terkait', 'kabinetnya', 'ia', 'menganggap', 'namanama', 'beredar', 'tersebut', 'merupakan', 'aspirasi', 'atau']","['ketua', 'harian', 'gerindra', 'dasco', 'buka', 'suara', 'beredarnya', 'nama', 'masuk', 'jajaran', 'kabinet', 'prabowogibran', 'dasco', 'menyebut', 'presiden', 'terpilih', 'prabowo', 'subianto', 'membahas', 'terkait', 'kabinetnya', 'menganggap', 'namanama', 'beredar', 'aspirasi']",ketua harian gerindra dasco buka suara beredarnya nama masuk jajaran kabinet prabowogibran dasco menyebut presiden terpilih prabowo subianto membahas terkait kabinetnya menganggap namanama beredar aspirasi,Positive
Jakarta (ANTARA) - Sekretaris Jenderal Partai Gerindra Ahmad Muzani menyampaikan harapan warung Tegal atau warteg bisa ikut kecipratan program unggulan makan siang dan susu gratis yang digagas presiden dan wakil presiden terpilih Prabowo Subianto-Gibran Rakabuming Raka.,Jakarta ANTARA  Sekretaris Jenderal Partai Gerindra Ahmad Muzani menyampaikan harapan warung Tegal atau warteg bisa ikut kecipratan program unggulan makan siang dan susu gratis yang digagas presiden dan wakil presiden terpilih Prabowo SubiantoGibran Rakabuming Raka,jakarta antara  sekretaris jenderal partai gerindra ahmad muzani menyampaikan harapan warung tegal atau warteg bisa ikut kecipratan program unggulan makan siang dan susu gratis yang digagas presiden dan wakil presiden terpilih prabowo subiantogibran rakabuming raka,"['jakarta', 'antara', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'menyampaikan', 'harapan', 'warung', 'tegal', 'atau', 'warteg', 'bisa', 'ikut', 'kecipratan', 'program', 'unggulan', 'makan', 'siang', 'dan', 'susu', 'gratis', 'yang', 'digagas', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka']","['jakarta', 'sekretaris', 'jenderal', 'partai', 'gerindra', 'ahmad', 'muzani', 'harapan', 'warung', 'tegal', 'warteg', 'kecipratan', 'program', 'unggulan', 'makan', 'siang', 'susu', 'gratis', 'digagas', 'presiden', 'wakil', 'presiden', 'terpilih', 'prabowo', 'subiantogibran', 'rakabuming', 'raka']",jakarta sekretaris jenderal partai gerindra ahmad muzani harapan warung tegal warteg kecipratan program unggulan makan siang susu gratis digagas presiden wakil presiden terpilih prabowo subiantogibran rakabuming raka,Positive
Pesan menyentuh dari Presiden Terpilih Prabowo Subianto untuk kamu yang tidak memilih beliau. #prabowo #gibran #prabowogibran #aljazeera #menyentuh #mengandungbawang #menepatijanji #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/yJeHkazJoP,Pesan menyentuh dari Presiden Terpilih Prabowo Subianto untuk kamu yang tidak memilih beliau prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo ,pesan menyentuh dari presiden terpilih prabowo subianto untuk kamu yang tidak memilih beliau prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo ,"['pesan', 'menyentuh', 'dari', 'presiden', 'terpilih', 'prabowo', 'subianto', 'untuk', 'kamu', 'yang', 'tidak', 'memilih', 'beliau', 'prabowo', 'gibran', 'prabowogibran', 'aljazeera', 'menyentuh', 'mengandungbawang', 'menepatijanji', 'indonesiamaju', 'bersamaindonesiamaju', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']","['pesan', 'menyentuh', 'presiden', 'terpilih', 'prabowo', 'subianto', 'memilih', 'beliau', 'prabowo', 'gibran', 'prabowogibran', 'aljazeera', 'menyentuh', 'mengandungbawang', 'menepatijanji', 'indonesiamaju', 'bersamaindonesiamaju', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",pesan menyentuh presiden terpilih prabowo subianto memilih beliau prabowo gibran prabowogibran aljazeera menyentuh mengandungbawang menepatijanji indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,Positive
Gelar rapimnas dan syukuran kemenangan Prabowo Gibran Rumi kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih https://t.co/FttpnPxTgV,Gelar rapimnas dan syukuran kemenangan Prabowo Gibran Rumi kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih ,gelar rapimnas dan syukuran kemenangan prabowo gibran rumi kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih ,"['gelar', 'rapimnas', 'dan', 'syukuran', 'kemenangan', 'prabowo', 'gibran', 'rumi', 'kami', 'siap', 'berkontribusi', 'dan', 'mengawal', 'segala', 'kebijakan', 'presiden', 'terpilih']","['gelar', 'rapimnas', 'syukuran', 'kemenangan', 'prabowo', 'gibran', 'rumi', 'berkontribusi', 'mengawal', 'kebijakan', 'presiden', 'terpilih']",gelar rapimnas syukuran kemenangan prabowo gibran rumi berkontribusi mengawal kebijakan presiden terpilih,Positive
Presiden terpilih Prabowo Subianto menegaskan urgensi dari program makan siang dan susu gratis untuk anak sekolah di Indonesia yang menjadi salah satu fokusnya bersama Gibran Rakabuming Raka. . Pada wawancara dengan media Al Jazeera Prabowo menggarisbawahi perlunya program ini https://t.co/p3h60vsV9p,Presiden terpilih Prabowo Subianto menegaskan urgensi dari program makan siang dan susu gratis untuk anak sekolah di Indonesia yang menjadi salah satu fokusnya bersama Gibran Rakabuming Raka  Pada wawancara dengan media Al Jazeera Prabowo menggarisbawahi perlunya program ini ,presiden terpilih prabowo subianto menegaskan urgensi dari program makan siang dan susu gratis untuk anak sekolah di indonesia yang menjadi salah satu fokusnya bersama gibran rakabuming raka  pada wawancara dengan media al jazeera prabowo menggarisbawahi perlunya program ini ,"['presiden', 'terpilih', 'prabowo', 'subianto', 'menegaskan', 'urgensi', 'dari', 'program', 'makan', 'siang', 'dan', 'susu', 'gratis', 'untuk', 'anak', 'sekolah', 'di', 'indonesia', 'yang', 'menjadi', 'salah', 'satu', 'fokusnya', 'bersama', 'gibran', 'rakabuming', 'raka', 'pada', 'wawancara', 'dengan', 'media', 'al', 'jazeera', 'prabowo', 'menggarisbawahi', 'perlunya', 'program', 'ini']","['presiden', 'terpilih', 'prabowo', 'subianto', 'urgensi', 'program', 'makan', 'siang', 'susu', 'gratis', 'anak', 'sekolah', 'indonesia', 'salah', 'fokusnya', 'gibran', 'rakabuming', 'raka', 'wawancara', 'media', 'al', 'jazeera', 'prabowo', 'menggarisbawahi', 'program']",presiden terpilih prabowo subianto urgensi program makan siang susu gratis anak sekolah indonesia salah fokusnya gibran rakabuming raka wawancara media al jazeera prabowo menggarisbawahi program,Positive
Semua elemen masyarakat dukung Hasil Pemilu 2024 Prabowo-Gibran Presiden dan Wakil Presiden terpilih #pemilupenuhdamai #PemiluIndonesia https://t.co/ifXwdPKhni,Semua elemen masyarakat dukung Hasil Pemilu  PrabowoGibran Presiden dan Wakil Presiden terpilih pemilupenuhdamai PemiluIndonesia ,semua elemen masyarakat dukung hasil pemilu  prabowogibran presiden dan wakil presiden terpilih pemilupenuhdamai pemiluindonesia ,"['semua', 'elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']","['elemen', 'masyarakat', 'dukung', 'hasil', 'pemilu', 'prabowogibran', 'presiden', 'wakil', 'presiden', 'terpilih', 'pemilupenuhdamai', 'pemiluindonesia']",elemen masyarakat dukung hasil pemilu prabowogibran presiden wakil presiden terpilih pemilupenuhdamai pemiluindonesia,Positive
Gelar rapimnas dan tasyakuran kemenangan Prabowo-Gibran Rumi : kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih https://t.co/oeBaEZAd3u,Gelar rapimnas dan tasyakuran kemenangan PrabowoGibran Rumi  kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih ,gelar rapimnas dan tasyakuran kemenangan prabowogibran rumi  kami siap berkontribusi dan mengawal segala kebijakan presiden terpilih ,"['gelar', 'rapimnas', 'dan', 'tasyakuran', 'kemenangan', 'prabowogibran', 'rumi', 'kami', 'siap', 'berkontribusi', 'dan', 'mengawal', 'segala', 'kebijakan', 'presiden', 'terpilih']","['gelar', 'rapimnas', 'tasyakuran', 'kemenangan', 'prabowogibran', 'rumi', 'berkontribusi', 'mengawal', 'kebijakan', 'presiden', 'terpilih']",gelar rapimnas tasyakuran kemenangan prabowogibran rumi berkontribusi mengawal kebijakan presiden terpilih,Positive
RUMI menggelar rapimnas dan tasyakuran kemenangan Prabowo dan Gibran sebagai presiden dan wakil presiden terpilih 2024-2029 https://t.co/LVIq6hbGVl,RUMI menggelar rapimnas dan tasyakuran kemenangan Prabowo dan Gibran sebagai presiden dan wakil presiden terpilih  ,rumi menggelar rapimnas dan tasyakuran kemenangan prabowo dan gibran sebagai presiden dan wakil presiden terpilih  ,"['rumi', 'menggelar', 'rapimnas', 'dan', 'tasyakuran', 'kemenangan', 'prabowo', 'dan', 'gibran', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih']","['rumi', 'menggelar', 'rapimnas', 'tasyakuran', 'kemenangan', 'prabowo', 'gibran', 'presiden', 'wakil', 'presiden', 'terpilih']",rumi menggelar rapimnas tasyakuran kemenangan prabowo gibran presiden wakil presiden terpilih,Positive
RUMI menggelar rapimnas dan tasyakuran kemenangan Prabowo Gibran sebagai presiden dan wakil presiden terpilih. https://t.co/DDE3wGvYSi,RUMI menggelar rapimnas dan tasyakuran kemenangan Prabowo Gibran sebagai presiden dan wakil presiden terpilih ,rumi menggelar rapimnas dan tasyakuran kemenangan prabowo gibran sebagai presiden dan wakil presiden terpilih ,"['rumi', 'menggelar', 'rapimnas', 'dan', 'tasyakuran', 'kemenangan', 'prabowo', 'gibran', 'sebagai', 'presiden', 'dan', 'wakil', 'presiden', 'terpilih']","['rumi', 'menggelar', 'rapimnas', 'tasyakuran', 'kemenangan', 'prabowo', 'gibran', 'presiden', 'wakil', 'presiden', 'terpilih']",rumi menggelar rapimnas tasyakuran kemenangan prabowo gibran presiden wakil presiden terpilih,Positive
